state,county,2008D,2012D,2016D,2020D,2008R,2012R,2016R,2020R,2008O,2012O,2016O,2020O
TN,Scott,963,1490,1157,2326,5562,5388,5704,6513,111,73,121,149
TN,Sequatchie,1667,1713,1327,1332,4127,3720,4126,4793,134,120,170,247
TN,Sevier,7933,7878,7151,6371,25471,26717,27279,30938,832,470,938,1247
TN,Shelby,255874,230443,215319,220290,115222,126470,115646,128626,12097,6330,16361,11355
TN,Smith,2208,2580,2165,2943,5078,4693,5146,5900,172,102,206,293
TN,Stewart,2166,2307,1732,1600,3553,3187,3555,4238,126,103,173,275
TN,Sullivan,15263,15601,14697,15223,46345,46344,46209,49406,1800,1222,1996,2338
TN,Sumner,19847,19630,19452,20286,47196,49105,48614,51350,2277,1049,2659,1986
TN,Tipton,7544,7523,6590,5260,16819,17356,17232,17584,456,328,567,985
TN,Trousdale,1389,1440,1143,1346,2145,1799,1940,2200,82,54,93,128
TN,Unicoi,2019,2135,1629,1523,5362,5300,5500,6403,162,159,224,369
TN,Union,1449,1641,1299,1757,4931,4593,4875,5444,122,81,147,217
TN,Van Buren,899,1054,668,788,1833,1587,1643,1884,57,35,54,61
TN,Warren,4261,4813,4294,5326,8950,8587,9238,10310,332,188,385,504
TN,Washington,14978,15137,14207,13207,33636,34470,34633,36296,1586,1034,1822,2335
TN,Wayne,1126,1330,946,1265,4620,4487,4750,5623,90,64,92,109
TN,Weakley,3565,3725,3421,4180,9023,9043,9020,9302,269,184,318,479
TN,White,2688,2966,2434,2772,6793,6521,7158,8347,210,178,267,423
TN,Williamson,28557,25868,29806,38526,65669,74132,69668,70091,6406,2960,8391,6877
TN,Wilson,15394,15758,15244,15193,37320,38339,38646,41148,2008,845,2433,1942
TX,Anderson,4391,4162,3850,3641,12469,13133,13158,14236,238,191,315,550
TX,Andrews,1198,1040,843,722,4028,3879,3921,4439,85,62,132,233
TX,Angelina,8794,8460,8189,7902,20196,21630,21629,23755,414,330,532,952
